Price,Sold,Cluster
67900,2,2
67800,39,2
67500,287,2
67500,12,2
67500,3,2
67000,50,2
66600,5486,2
66500,49,2
66000,874,2
66000,79,2
65000,244,2
65000,122,2
65000,49,2
65000,19,2
65000,158,2
65000,152,2
65000,105,2
65000,269,2
65000,2,2
65000,49,2
65000,30,2
65000,26,2
65000,3,2
65000,2,2
65000,3,2
65000,75,2
64999,26,2
64998,10,2
64900,3,2
64000,84,2
64000,22,2
64000,32,2
64000,0,2
64000,1,2
63600,526,2
63500,38,2
63000,23,2
62000,40,2
62000,1,2
61500,14,2
61360,19,2
61000,78,2
60900,1134,2
60550,2,2
60500,88,2
60317,44,2
60000,38,2
60000,200,2
60000,29,2
60000,184,2
60000,5,2
60000,20,2
60000,9,2
60000,1,2
59900,9,2
59800,11,2
59740,341,2
59000,90,2
59000,23,2
59000,35,2
59000,67,2
58500,12,2
58300,49,2
58000,17,2
58000,71,2
58000,48,2
57800,6236,2
57500,577,2
57000,1,2
57000,8,2
57000,739,2
56520,149,2
56500,11,2
56500,1,2
56000,1450,2
56000,4,2
55999,20,2
55993,330,2
55500,51,2
55400,112,2
55000,170,2
55000,283,2
55000,811,2
55000,4,2
55000,11,2
55000,8,2
55000,29,2
55000,1,2
55000,381,2
55000,15,2
55000,13,2
55000,4,2
55000,15,2
55000,11,2
55000,1,2
55000,2,2
55000,89,2
55000,12,2
55000,32,2
54990,210,2
54600,39,2
54500,67,2
54500,204,2
54500,16,2
54000,210,2
54000,54,2
54000,18,2
54000,7,2
54000,41,2
53600,125,2
53500,2,2
53438,101,2
53299,451,2
53164,901,2
53000,42,2
53000,771,2
53000,175,2
53000,159,2
53000,13,2
53000,16,2
53000,100,2
53000,40,2
53000,134,2
52900,20,2
52800,79,2
52800,93,2
52500,2,2
52500,18,2
52222,275,2
52200,695,2
52000,67,2
52000,282,2
52000,271,2
52000,21,2
52000,7,2
52000,169,2
51999,917,2
51799,3578,2
51500,502,2
51500,1,2
51468,67,2
51063,857,2
51060,0,2
51052,8,2
51000,190,2
51000,62,2
51000,1951,2
51000,86,2
51000,15,2
50990,476,2
50900,6165,2
50700,163,2
50564,595,2
50500,54,2
50499,57,2
50450,8,2
50000,132,2
50000,617,2
50000,281,2
50000,20,2
50000,114,2
50000,54,2
50000,167,2
50000,50,2
50000,1612,2
50000,37,2
50000,128,2
50000,2,2
50000,9,2
50000,35,2
50000,18,2
50000,3,2
50000,1,2
50000,31,2
50000,2,2
50000,1132,2
50000,30,2
50000,26,2
50000,645,2
50000,92,2
50000,10,2
50000,20,2
50000,22,2
49999,3555,2
49950,509,2
49900,359,2
49850,79,2
49800,67,2
49800,34,2
49750,1020,2
49750,33,2
49650,438,2
49500,1696,2
49500,598,2
49500,16,2
49500,40,2
49500,6,2
49500,170,2
49500,9,2
49500,140,2
49500,5,2
49500,136,2
49094,80,2
49000,70,2
49000,867,2
49000,11,2
49000,30,2
49000,135,2
49000,89,2
49000,38,2
49000,44,2
49000,41,2
49000,144,2
49000,27,2
49000,13,2
49000,24,2
48850,42,2
48800,12,2
48750,555,2
48750,182,2
48500,61,2
48500,110,2
48500,75,2
48490,107,2
48450,159,2
48450,8,2
48450,2,2
48450,4,2
48450,1,2
48000,157,2
48000,43,2
48000,7,2
48000,68,2
48000,193,2
48000,0,2
48000,160,2
48000,19,2
48000,0,2
48000,124,2
47990,10,2
47900,78,2
47888,10,2
47500,589,2
47500,152,2
47500,26,2
47500,22,2
47500,7,2
47450,120,2
47300,111,2
47000,32,2
47000,96,2
47000,6,2
47000,4,2
46900,7,2
46800,10,2
46800,2,2
46500,3,2
46350,52,2
46200,3,2
46000,182,2
46000,2,2
46000,70,2
46000,7,2
45900,1,2
45900,3,2
45800,71,2
45500,2,2
45500,35,2
45300,22,2
45000,161,0
45000,701,0
45000,10,0
45000,37,0
45000,78,0
45000,1,0
45000,1,0
45000,11,0
45000,4,0
45000,11,0
45000,11,0
45000,40,0
45000,19,0
45000,14,0
45000,31,0
45000,47,0
45000,23,0
45000,10,0
45000,35,0
45000,0,0
45000,41,0
45000,8,0
45000,3,0
45000,54,0
45000,2,0
45000,57,0
45000,0,0
45000,0,0
45000,2,0
45000,70,0
45000,10,0
44800,10,0
44800,7,0
44600,4,0
44500,408,0
44500,71,0
44500,1,0
44400,1571,0
44000,37,0
44000,388,0
44000,6,0
44000,17,0
43900,12,0
43850,27,0
43740,15,0
43600,8,0
43500,248,0
43500,2,0
43000,52,0
43000,353,0
43000,128,0
43000,35,0
43000,2,0
42999,162,0
42900,317,0
42900,44,0
42750,9,0
42500,339,0
42500,312,0
42500,120,0
42500,230,0
42200,77,0
42200,87,0
42200,12,0
42000,20,0
42000,38,0
42000,31,0
42000,64,0
42000,127,0
42000,9,0
42000,20,0
42000,17,0
41900,130,0
41600,4,0
41580,5,0
41500,18,0
41500,3,0
41000,85,0
41000,21,0
41000,2,0
41000,21,0
40500,282,0
40500,38,0
40500,9,0
40500,70,0
40000,154,0
40000,1395,0
40000,6,0
40000,74,0
40000,16,0
40000,4,0
